IncomeId,ZipCode,City,State,Population,AvgIncome,NationalRank
1,98039,Medina,WA,3050,132665,46
2,98053,Redmond,WA,31203,96028,335
3,98364,Port Gamble,WA,102,94366,364
4,98040,Mercer Island,WA,22036,91904,415
5,98029,Issaquah,WA,28427,91146,430
6,98072,Woodinville,WA,35196,82922,687
7,98006,Bellevue,WA,35332,81929,742
8,98068,Snoqualmie Pass,WA,206,81883,747
9,98833,Mazama,WA,96,80633,800
10,98243,Deer Harbor,WA,141,79537,858
11,98296,Snohomish,WA,19475,77181,970
12,99338,Kennewick,WA,7614,72654,1282
13,98019,Duvall,WA,8193,72438,1295
14,98110,Bainbridge Island,WA,20308,70110,1537
15,98027,Issaquah,WA,22219,70085,1541
16,98333,Fox Island,WA,2803,69135,1625
17,98033,Kirkland,WA,30393,69073,1632
18,98052,Redmond,WA,50249,68923,1649
19,98038,Maple Valley,WA,22590,68180,1727
20,98008,Bellevue,WA,23522,67391,1817
21,98275,Mukilteo,WA,19093,67372,1821
22,98014,Carnation,WA,6894,66841,1893
23,98010,Black Diamond,WA,4426,66709,1913
24,98042,Kent,WA,38023,66051,1991
25,98012,Bothell,WA,38397,65730,2045
26,98045,North Bend,WA,13717,65674,2054
27,98177,Seattle,WA,18920,65514,2076
28,98422,Tacoma,WA,19726,65267,2113
29,99023,Mica,WA,356,65114,2132
30,98606,Brush Prairie,WA,8395,64855,2164
31,98058,Renton,WA,37481,63680,2316
32,98021,Bothell,WA,20391,63630,2327
33,98004,Bellevue,WA,22650,63358,2363
34,98092,Auburn,WA,25470,62478,2469
35,98024,Fall City,WA,4787,62076,2548
36,98028,Kenmore,WA,18165,61813,2593
37,98607,Camas,WA,18115,61759,2609
38,98685,Vancouver,WA,21148,61503,2656
39,98059,Renton,WA,27993,61361,2685
40,98011,Bothell,WA,26380,61329,2696
41,98332,Gig Harbor,WA,13130,61226,2722
42,98290,Snohomish,WA,29394,61110,2745
43,99005,Colbert,WA,6694,61098,2747
44,98258,Lake Stevens,WA,16491,61066,2755
45,99019,Liberty Lake,WA,5370,60667,2856
46,98065,Snoqualmie,WA,3822,60658,2859
47,98642,Ridgefield,WA,12493,60625,2867
48,98001,Auburn,WA,25771,60534,2884
49,98335,Gig Harbor,WA,22953,60483,2897
50,98005,Bellevue,WA,17089,60173,2987
51,98034,Kirkland,WA,40380,60043,3017
52,98112,Seattle,WA,20480,59693,3074
53,98375,Puyallup,WA,14052,59611,3087
54,98199,Seattle,WA,19156,59542,3103
55,98374,Puyallup,WA,29098,58873,3208
56,98025,Hobart,WA,133,58750,3232
57,98340,Hansville,WA,1980,58646,3243
58,98115,Seattle,WA,43567,58475,3273
59,98686,Vancouver,WA,13540,58394,3294
60,98070,Vashon,WA,10123,58261,3325
61,98205,Everett,WA,17896,58036,3376
62,98023,Federal Way,WA,47572,57411,3505
63,99353,West Richland,WA,9294,57358,3512
64,98342,Indianola,WA,721,57054,3601
65,98026,Edmonds,WA,34456,56774,3684
66,98020,Edmonds,WA,18141,56653,3720
67,98136,Seattle,WA,14138,56455,3765
68,98360,Orting,WA,7524,56429,3771
69,98051,Ravensdale,WA,2881,56414,3776
70,98390,Sumner,WA,45264,56175,3824
71,98604,Battle Ground,WA,24572,56055,3850
72,98272,Monroe,WA,23347,55987,3868
73,98208,Everett,WA,45498,55952,3878
74,98155,Seattle,WA,33914,55863,3903
75,98117,Seattle,WA,29667,55777,3926
76,98232,Bow,WA,3553,55019,4140
77,99154,Mohler,WA,34,55000,4145
78,98292,Stanwood,WA,31532,54889,4172
79,98327,Dupont,WA,2173,54836,4182
80,98321,Buckley,WA,14652,54602,4237
81,98116,Seattle,WA,20826,54563,4250
82,98271,Marysville,WA,23330,54160,4364
83,98022,Enumclaw,WA,21661,54118,4378
84,98056,Renton,WA,24261,53608,4511
85,99026,Nine Mile Falls,WA,7500,53521,4528
86,99352,Richland,WA,38753,53169,4633
87,98629,La Center,WA,7105,53060,4676
88,98367,Port Orchard,WA,24502,52974,4703
89,98513,Olympia,WA,24030,52497,4859
90,98311,Bremerton,WA,23582,52477,4865
91,98338,Graham,WA,20694,52455,4870
92,98373,Puyallup,WA,16922,52251,4961
93,99337,Kennewick,WA,25215,52068,5027
94,98329,Gig Harbor,WA,9257,51984,5063
95,98446,Tacoma,WA,9178,51949,5077
96,99146,Laurier,WA,44,51875,5108
97,98443,Tacoma,WA,5593,51859,5115
98,99223,Spokane,WA,25222,51774,5145
99,98380,Seabeck,WA,3412,51750,5150
100,98223,Arlington,WA,33838,51736,5157
