RegionName,Date,State,Metro,County,City,SizeRank,Zri,YoY,ZriRecordCnt
98052,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Redmond,75,2586,-0.052400147,19679
98012,9/30/18,WA,Seattle-Tacoma-Bellevue,Snohomish,Bothell,152,2294,-0.041771094,20473
98103,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Seattle,189,2569,-0.074234234,17641
99301,9/30/18,WA,Kennewick-Richland,Franklin,Pasco,191,1340,-0.002233805,19462
98115,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Seattle,347,2637,-0.088174274,18358
98682,9/30/18,WA,Portland-Vancouver-Hillsboro,Clark,Vancouver,360,1655,0.004857316,16768
98133,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Shoreline,406,2284,-0.011683254,14257
99208,9/30/18,WA,Spokane-Spokane Valley,Spokane,Spokane,427,1438,0.017692852,16369
98122,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Seattle,433,2438,-0.074411541,10018
98632,9/30/18,WA,Longview,Cowlitz,Longview,484,1294,-0.03071161,15339
98208,9/30/18,WA,Seattle-Tacoma-Bellevue,Snohomish,Seattle Hill-Silver Firs,547,2141,0.003280225,16212
98034,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Kirkland,586,2399,-0.032271077,18128
98225,9/30/18,WA,Bellingham,Whatcom,Bellingham,668,1534,-0.063492063,13469
99336,9/30/18,WA,Kennewick-Richland,Benton,Kennewick,690,1303,0.001537279,10921
98109,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Seattle,804,2338,-0.065920895,7472
98125,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Seattle,823,2355,-0.047330097,12152
98661,9/30/18,WA,Portland-Vancouver-Hillsboro,Clark,Vancouver,831,1635,0.009259259,11291
98003,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Federal Way,933,1935,0.022187005,11045
98391,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Bonney Lake,997,1945,0.027469625,16182
98270,9/30/18,WA,Seattle-Tacoma-Bellevue,Snohomish,Marysville,1061,1893,-0.002634352,15559
98226,9/30/18,WA,Bellingham,Whatcom,Bellingham,1076,1594,-0.079676674,13678
98501,9/30/18,WA,Olympia-Tumwater,Thurston,Olympia,1115,1691,-0.008211144,14527
98004,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Bellevue,1133,3221,-0.043077837,11978
98105,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Seattle,1148,2823,-0.091990994,8981
98118,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Seattle,1165,2314,-0.029362416,13016
98204,9/30/18,WA,Seattle-Tacoma-Bellevue,Snohomish,Paine Field-Lake Stickney,1182,1769,0.007977208,8204
99205,9/30/18,WA,Spokane-Spokane Valley,Spokane,Spokane,1194,1121,0.049625468,17239
98023,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Federal Way,1197,2049,0.010853478,14230
98387,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Spanaway,1204,1660,0.01965602,14474
98258,9/30/18,WA,Seattle-Tacoma-Bellevue,Snohomish,Lake Stevens,1214,1992,-0.011904762,15319
98837,9/30/18,WA,Moses Lake,Grant,Moses Lake,1263,1049,0.049,9708
98277,9/30/18,WA,Oak Harbor,Island,Oak Harbor,1324,1573,0.005754476,13937
98033,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Kirkland,1370,2689,-0.057813595,15636
98042,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Kent,1378,2200,0.0087116,15186
99362,9/30/18,WA,Walla Walla,Walla Walla,Walla Walla,1404,1315,0.053685897,10712
98801,9/30/18,WA,Wenatchee,Chelan,Wenatchee,1422,1539,0.030810449,13595
98902,9/30/18,WA,Yakima,Yakima,Yakima,1425,1040,0.044176707,13078
98102,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Seattle,1545,2289,-0.062653563,7617
98092,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Auburn,1594,2141,-0.013818517,13339
98058,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Renton,1660,2239,-0.002228164,13399
98223,9/30/18,WA,Seattle-Tacoma-Bellevue,Snohomish,Arlington,1714,1935,-0.01174668,12944
98036,9/30/18,WA,Seattle-Tacoma-Bellevue,Snohomish,Lynnwood,1772,2198,-0.032570423,11481
98503,9/30/18,WA,Olympia-Tumwater,Thurston,Lacey,1775,1590,0.031128405,11273
98382,9/30/18,WA,Port Angeles,Clallam,Sequim,1841,1499,-0.044614404,13343
98584,9/30/18,WA,Shelton,Mason,Shelton,1983,1377,0.114979757,12090
98908,9/30/18,WA,Yakima,Yakima,Yakima,1985,1439,0.012667136,12250
98026,9/30/18,WA,Seattle-Tacoma-Bellevue,Snohomish,Edmonds,2022,2240,-0.044368601,13375
99206,9/30/18,WA,Spokane-Spokane Valley,Spokane,Spokane Valley,2071,1328,-0.005243446,11492
98502,9/30/18,WA,Olympia-Tumwater,Thurston,Olympia,2124,1711,-0.012124711,11516
98087,9/30/18,WA,Seattle-Tacoma-Bellevue,Snohomish,Lynnwood,2129,2140,0.001872659,9660
98374,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,South Hill,2134,1839,0.02852349,12243
99352,9/30/18,WA,Kennewick-Richland,Benton,Richland,2137,1623,-0.005514706,10244
98056,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Renton,2163,2294,-0.023829787,10547
