RegistrationNum,RentalHousingUnits,RegisteredDate,ExpiresDate,StatusCurrent,OriginalAddress1,OriginalCity,OriginalState,OriginalZip
001-0134145,4,6/19/18,6/19/23,Active,7327 38TH AVE NE,SEATTLE,WA,98115
001-0126109,1,9/16/16,9/16/21,Active,858 NW 65TH ST,SEATTLE,WA,98117
001-0106534,1,6/9/15,6/9/20,Active,7507 19TH AVE SW,SEATTLE,WA,98106
001-0121106,1,6/3/16,6/3/21,Active,1933 42ND AVE E,SEATTLE,WA,98112
001-0134143,1,6/19/18,6/19/23,Active,345 16TH AVE,SEATTLE,WA,98122
001-0118140,1,3/22/16,3/22/21,Active,1111 E PIKE ST,SEATTLE,WA,98122
001-0121110,1,6/8/16,6/8/21,Active,2415 24TH AVE E,SEATTLE,WA,98112
001-0124602,1,8/11/16,8/11/21,Active,6521 JONES AVE NW,SEATTLE,WA,98117
001-0114940,2,12/30/15,12/30/20,Active,2005 DEXTER AVE N,SEATTLE,WA,98109
001-0134142,1,6/19/18,6/19/23,Active,820 BLANCHARD ST,SEATTLE,WA,98121
001-0100924,33,9/12/14,9/12/19,Active,3520 28TH AVE W,SEATTLE,WA,98199
001-0134147,1,6/19/18,6/19/23,Active,3501 W OHMAN PL,SEATTLE,WA,98199
001-0100925,24,9/12/14,9/12/19,Active,2727 W MANOR PL,SEATTLE,WA,98199
001-0113404,1,12/4/15,12/4/20,Active,7 HIGHLAND DR,SEATTLE,WA,98109
001-0116381,1,1/25/16,1/25/21,Active,1127 B 18TH AVE,SEATTLE,WA,98122
001-0100614,12,9/4/14,9/4/19,Active,5900 SW ADMIRAL WAY,SEATTLE,WA,98116
001-0105769,1,5/13/15,5/13/20,Active,7763 10TH AVE SW,SEATTLE,WA,98106
001-0107913,1,6/29/15,6/29/20,Active,346 N 83RD ST,SEATTLE,WA,98103
001-0114661,3,12/28/15,12/28/20,Active,8209 GREENWOOD AVE N,SEATTLE,WA,98103
001-0106332,1,6/3/15,6/3/20,Active,1818 8TH AVE W,SEATTLE,WA,98119
001-0104825,12,3/30/15,3/30/20,Active,12023 32nd AVE NE,SEATTLE,WA,98125
001-0129044,1,12/13/16,12/13/21,Active,4703 S ORCAS ST,SEATTLE,WA,98118
001-0134146,1,6/20/18,6/20/23,Active,512 10TH AVE E,SEATTLE,WA,98102
001-0100766,30,9/7/14,9/7/19,Active,14019 32ND AVE NE,SEATTLE,WA,98125
001-0104684,5,3/25/15,3/25/20,Active,2142 ALKI AVE SW,SEATTLE,WA,98116
001-0109110,1,8/3/15,8/3/20,Active,321 NE 52ND ST,SEATTLE,WA,98105
001-0104212,6,3/13/15,3/13/20,Active,4050 CALIFORNIA AVE SW,SEATTLE,WA,98116
001-0118381,1,3/22/16,3/22/21,Active,1131 35TH AVE,SEATTLE,WA,98122
001-0107052,3,6/16/15,6/16/20,Active,5049 DELRIDGE WAY SW,SEATTLE,WA,98106
001-0134057,1,6/21/18,6/21/23,Active,303 NW 90th ST,SEATTLE,WA,
001-0134151,1,6/21/18,6/21/23,Active,4343 Roosevelt WAY NE,,,
001-0134149,26,6/21/18,6/21/23,Active,1216 1st AVE,SEATTLE,WA,
001-0105770,1,5/13/15,5/13/20,Active,7016 17TH AVE SW,SEATTLE,WA,98106
001-0101592,20,9/25/14,9/25/19,Active,2612 NW 59TH ST,SEATTLE,WA,98107
001-0105342,1,4/9/15,4/9/20,Active,10301 HOLMAN RD N,SEATTLE,WA,98177
001-0119736,2,7/12/16,7/12/21,Active,412 11TH AVE,SEATTLE,WA,98122
001-0129182,1,12/16/16,12/16/21,Active,3824 BAGLEY AVE N,SEATTLE,WA,98103
001-0100621,13,8/30/14,8/30/19,Active,1308 12TH AVE S,SEATTLE,WA,98144
001-0134070,1,6/21/18,6/21/23,Active,13755 20th AVE NE,SEATTLE,WA,
001-0134153,1,6/21/18,6/21/23,Active,1614 SUMMIT AVE,SEATTLE,WA,98122
001-0134144,1,6/21/18,6/21/23,Active,3914 Burke AVE N,SEATTLE,WA,
001-0121690,1,6/11/16,6/11/21,Active,8518 A NESBIT AVE N,SEATTLE,WA,98103
001-0124289,1,8/2/16,8/2/21,Active,10340 39TH AVE NE,SEATTLE,WA,98125
001-0134152,1,6/21/18,6/21/23,Active,7527 29TH AVE SW,SEATTLE,WA,98126
001-0134036,1,6/21/18,6/21/23,Active,1001 W Howe,SEATTLE,WA,
001-0132096,1,9/14/17,9/14/22,Active,1413 N NORTHGATE WAY,SEATTLE,WA,98133
001-0134161,1,6/23/18,6/23/23,Active,9245 Interlake AVE N,,,
001-0134155,1,6/22/18,6/22/23,Active,2858 30TH AVE W,SEATTLE,WA,98199
001-0134158,1,6/22/18,6/22/23,Active,7149 34TH AVE SW,SEATTLE,WA,98126
001-0134156,3,6/22/18,6/22/23,Active,5610 S LEO ST,SEATTLE,WA,98178
001-0134159,1,6/23/18,6/23/23,Active,76 CEDAR ST,SEATTLE,WA,98121
001-0134157,1,6/22/18,6/22/23,Active,4223 26th AVE W,,,
001-0134162,1,6/24/18,6/24/23,Active,11318 B 8TH AVE NE,SEATTLE,WA,98125
001-0134160,1,6/23/18,6/23/23,Active,8902 RAVENNA AVE NE,SEATTLE,WA,98115
001-0134163,1,6/24/18,6/24/23,Active,3812 25TH AVE W,SEATTLE,WA,98199
001-0125372,3,9/1/16,9/1/21,Active,6318 C 34TH AVE SW,SEATTLE,WA,98126
001-0126633,1,9/27/16,9/27/21,Active,5810 RENTON AVE S,SEATTLE,WA,98118
001-0100604,14,8/29/14,8/29/19,Active,6547 4TH AVE NE,SEATTLE,WA,98115
001-0134165,1,6/25/18,6/25/23,Active,131 G 22ND AVE E,SEATTLE,WA,98112
001-0108485,2,7/2/15,7/2/20,Active,1905 N 35TH ST,SEATTLE,WA,98103
001-0104305,4,3/16/15,3/16/20,Active,5039 11TH AVE NE,SEATTLE,WA,98105
001-0131788,1,6/13/17,6/13/22,Active,7568 roosevelt WAY NE,Seattle,WA,98115
001-0116934,1,2/12/16,2/12/21,Active,10556 MIDVALE AVE N,SEATTLE,WA,98133
001-0105771,1,5/13/15,5/13/20,Active,9402 8TH AVE SW,SEATTLE,WA,98106
001-0109243,1,8/5/15,8/5/20,Active,1718 B CALIFORNIA AVE SW,SEATTLE,WA,98116
001-0106605,1,6/10/15,6/10/20,Active,9211 12TH AVE SW,SEATTLE,WA,98106
001-0110808,1,9/15/15,9/15/20,Active,3904 SW FINDLAY ST,SEATTLE,WA,98136
001-0110807,1,9/15/15,9/15/20,Active,6002 SW ADMIRAL WAY,SEATTLE,WA,98116
001-0134164,1,6/25/18,6/25/23,Active,9240 D INTERLAKE AVE N,SEATTLE,WA,98103
001-0104618,6,3/24/15,3/24/20,Active,3070 SW AVALON WAY,SEATTLE,WA,98126
001-0104211,6,3/13/15,3/13/20,Active,4018 CALIFORNIA AVE SW,SEATTLE,WA,98116
001-0134179,1,6/26/18,6/26/23,Active,6571 B 5TH AVE NE,SEATTLE,WA,98115
001-0122477,1,6/24/16,6/24/21,Active,3463 MERIDIAN AVE N,SEATTLE,WA,98103
001-0109705,1,8/18/15,8/18/20,Active,4725 25TH AVE SW,SEATTLE,WA,98106
001-0104370,5,3/18/15,3/18/20,Active,7101 LINDEN AVE N,SEATTLE,WA,98103
001-0103752,9,2/13/15,2/13/20,Active,1315 S JUDKINS ST,SEATTLE,WA,98144
