 Id,ZipCode,Location,City,State,Population,AvgIncome,NationalRank 
1,98039,"47.626035, -122.233707",Medina,WA,3050,132665,46
2,98053,"47.655058, -122.025817",Redmond,WA,31203,96028,335
3,98364,"47.855439, -122.595728",Port Gamble,WA,102,94366,364
4,98040,"47.562356, -122.226514",Mercer Island,WA,22036,91904,415
5,98029,"47.578444, -122.013924",Issaquah,WA,28427,91146,430
6,98072,"47.748322, -122.088067",Woodinville,WA,35196,82922,687
7,98006,"47.557366, -122.147538",Bellevue,WA,35332,81929,742
8,98068,"47.435960, -121.369011",Snoqualmie Pass,WA,206,81883,747
9,98833,"48.627386, -120.446510",Mazama,WA,96,80633,800
10,98243,"48.620140, -123.022775",Deer Harbor,WA,141,79537,858
11,98296,"47.839066, -122.101113",Snohomish,WA,19475,77181,970
12,99338,"46.176075, -119.274432",Kennewick,WA,7614,72654,1282
13,98019,"47.742238, -121.930946",Duvall,WA,8193,72438,1295
14,98110,"47.653444, -122.543694",Bainbridge Island,WA,20308,70110,1537
15,98027,"47.505912, -121.975139",Issaquah,WA,22219,70085,1541
16,98333,"47.246709, -122.624901",Fox Island,WA,2803,69135,1625
17,98033,"47.677747, -122.186771",Kirkland,WA,30393,69073,1632
18,98052,"47.681360, -122.120930",Redmond,WA,50249,68923,1649
19,98038,"47.394181, -122.003412",Maple Valley,WA,22590,68180,1727
20,98008,"47.609325, -122.115212",Bellevue,WA,23522,67391,1817
21,98275,"47.911976, -122.294858",Mukilteo,WA,19093,67372,1821
22,98014,"47.659398, -121.893484",Carnation,WA,6894,66841,1893
23,98010,"47.324563, -121.989478",Black Diamond,WA,4426,66709,1913
24,98042,"47.356933, -122.110325",Kent,WA,38023,66051,1991
25,98012,"47.841169, -122.199069",Bothell,WA,38397,65730,2045
26,98045,"47.463289, -121.498930",North Bend,WA,13717,65674,2054
27,98177,"47.746168, -122.367867",Seattle,WA,18920,65514,2076
28,98422,"47.287300, -122.388350",Tacoma,WA,19726,65267,2113
29,99023,"47.546529, -117.175558",Mica,WA,356,65114,2132
30,98606,"45.728165, -122.448942",Brush Prairie,WA,8395,64855,2164
31,98058,"47.438656, -122.122643",Renton,WA,37481,63680,2316
32,98021,"47.792404, -122.205320",Bothell,WA,20391,63630,2327
33,98004,"47.619919, -122.203093",Bellevue,WA,22650,63358,2363
34,98092,"47.291033, -122.136900",Auburn,WA,25470,62478,2469
35,98024,"47.582104, -121.876202",Fall City,WA,4787,62076,2548
36,98028,"47.754724, -122.244486",Kenmore,WA,18165,61813,2593
37,98607,"45.641722, -122.391331",Camas,WA,18115,61759,2609
38,98685,"45.714979, -122.692760",Vancouver,WA,21148,61503,2656
39,98059,"47.499676, -122.113291",Renton,WA,27993,61361,2685
40,98011,"47.753885, -122.201357",Bothell,WA,26380,61329,2696
41,98332,"47.362106, -122.604795",Gig Harbor,WA,13130,61226,2722
42,98290,"47.948649, -122.003016",Snohomish,WA,29394,61110,2745
43,99005,"47.843866, -117.359835",Colbert,WA,6694,61098,2747
44,98258,"48.051977, -122.052246",Lake Stevens,WA,16491,61066,2755
45,99019,"47.642805, -117.079512",Liberty Lake,WA,5370,60667,2856
46,98065,"47.546930, -121.799057",Snoqualmie,WA,3822,60658,2859
47,98642,"45.798685, -122.694197",Ridgefield,WA,12493,60625,2867
48,98001,"47.313069, -122.268414",Auburn,WA,25771,60534,2884
49,98335,"47.299337, -122.615253",Gig Harbor,WA,22953,60483,2897
50,98005,"47.619367, -122.168725",Bellevue,WA,17089,60173,2987
51,98034,"47.718103, -122.204126",Kirkland,WA,40380,60043,3017
52,98112,"47.632236, -122.296766",Seattle,WA,20480,59693,3074
53,98375,"47.103783, -122.322978",Puyallup,WA,14052,59611,3087
54,98199,"47.651342, -122.402940",Seattle,WA,19156,59542,3103
55,98374,"47.133850, -122.252608",Puyallup,WA,29098,58873,3208
56,98025,"47.429256, -121.887337",Hobart,WA,133,58750,3232
57,98340,"47.902850, -122.561261",Hansville,WA,1980,58646,3243
58,98115,"47.685766, -122.292178",Seattle,WA,43567,58475,3273
59,98686,"45.723390, -122.624708",Vancouver,WA,13540,58394,3294
60,98070,"47.412192, -122.472554",Vashon,WA,10123,58261,3325
61,98205,"47.989747, -122.131869",Everett,WA,17896,58036,3376
62,98023,"47.308844, -122.362289",Federal Way,WA,47572,57411,3505
63,99353,"46.319033, -119.377314",West Richland,WA,9294,57358,3512
64,98342,"47.750503, -122.534238",Indianola,WA,721,57054,3601
65,98026,"47.832194, -122.332864",Edmonds,WA,34456,56774,3684
66,98020,"47.801197, -122.371957",Edmonds,WA,18141,56653,3720
67,98136,"47.536973, -122.389941",Seattle,WA,14138,56455,3765
68,98360,"47.005370, -122.092359",Orting,WA,7524,56429,3771
69,98051,"47.346210, -121.881291",Ravensdale,WA,2881,56414,3776
70,98390,"47.184490, -122.183275",Sumner,WA,45264,56175,3824
71,98604,"45.795345, -122.497875",Battle Ground,WA,24572,56055,3850
72,98272,"47.848649, -121.895402",Monroe,WA,23347,55987,3868
73,98208,"47.900198, -122.187044",Everett,WA,45498,55952,3878
74,98155,"47.754413, -122.300477",Seattle,WA,33914,55863,3903
75,98117,"47.687758, -122.382122",Seattle,WA,29667,55777,3926
76,98232,"48.563534, -122.412710",Bow,WA,3553,55019,4140
77,99154,"47.373718, -118.364699",Mohler,WA,34,55000,4145
78,98292,"48.218113, -122.360923",Stanwood,WA,31532,54889,4172
79,98327,"47.090373, -122.661868",Dupont,WA,2173,54836,4182
80,98321,"47.150590, -122.061871",Buckley,WA,14652,54602,4237
81,98116,"47.574388, -122.394493",Seattle,WA,20826,54563,4250
82,98271,"48.086107, -122.235909",Marysville,WA,23330,54160,4364
83,98022,"47.203014, -121.957325",Enumclaw,WA,21661,54118,4378
84,98056,"47.515043, -122.184539",Renton,WA,24261,53608,4511
85,99026,"47.805876, -117.615545",Nine Mile Falls,WA,7500,53521,4528
86,99352,"46.308815, -119.303713",Richland,WA,38753,53169,4633
87,98629,"45.876604, -122.619180",La Center,WA,7105,53060,4676
88,98367,"47.457353, -122.702904",Port Orchard,WA,24502,52974,4703
89,98513,"46.980602, -122.726487",Olympia,WA,24030,52497,4859
90,98311,"47.626834, -122.643449",Bremerton,WA,23582,52477,4865
91,98338,"47.034316, -122.276854",Graham,WA,20694,52455,4870
92,98373,"47.145083, -122.324153",Puyallup,WA,16922,52251,4961
93,99337,"46.095034, -119.084863",Kennewick,WA,25215,52068,5027
94,98329,"47.380330, -122.727077",Gig Harbor,WA,9257,51984,5063
95,98446,"47.131879, -122.375825",Tacoma,WA,9178,51949,5077
96,99146,"48.957294, -118.280382",Laurier,WA,44,51875,5108
97,98443,"47.208753, -122.372463",Tacoma,WA,5593,51859,5115
98,99223,"47.589407, -117.344623",Spokane,WA,25222,51774,5145
99,98380,"47.565604, -122.910502",Seabeck,WA,3412,51750,5150
100,98223,"48.179601, -121.977036",Arlington,WA,33838,51736,5157
101,98370,"47.753840, -122.626814",Poulsbo,WA,25267,51689,5174
102,98280,"48.602487, -122.876547",Orcas,WA,378,51500,5239
103,99025,"47.780756, -117.089377",Newman Lake,WA,4743,51495,5242
104,98351,"47.199661, -122.774258",Longbranch,WA,1065,51492,5244
105,98516,"47.103431, -122.799455",Olympia,WA,14453,51348,5313
106,98387,"47.045421, -122.432025",Spanaway,WA,35899,51318,5326
107,98036,"47.809699, -122.280399",Lynnwood,WA,33705,51296,5339
108,98811,"47.730261, -120.367606",Ardenvoir,WA,44,51250,5376
109,98270,"48.060672, -122.146662",Marysville,WA,34724,51126,5424
110,98383,"47.666040, -122.709809",Silverdale,WA,19298,50991,5476
111,98031,"47.387469, -122.196352",Kent,WA,64214,50958,5488
112,98279,"48.655328, -122.807470",Olga,WA,745,50924,5505
113,98203,"47.946398, -122.233601",Everett,WA,31626,50899,5509
114,98252,"48.061797, -121.714468",Granite Falls,WA,6552,50870,5522
115,98244,"48.848185, -122.063276",Deming,WA,2339,50833,5541
116,98346,"47.821069, -122.525526",Kingston,WA,8278,50824,5543
117,98683,"45.603287, -122.510170",Vancouver,WA,28210,50709,5594
118,98682,"45.673827, -122.480111",Vancouver,WA,42975,50553,5672
119,99037,"47.621245, -117.191953",Veradale,WA,11963,50429,5723
120,98847,"47.529837, -120.597908",Peshastin,WA,1508,50378,5751
121,98166,"47.453288, -122.348794",Seattle,WA,20302,50310,5792
122,99323,"46.190789, -118.872864",Burbank,WA,3629,50299,5799
123,98512,"46.981344, -123.061570",Olympia,WA,24173,50286,5808
124,99021,"47.837605, -117.191022",Mead,WA,8533,50247,5826
125,98253,"48.092397, -122.576537",Greenbank,WA,1413,49861,5989
126,98684,"45.630243, -122.520383",Vancouver,WA,20868,49786,6021
127,98323,"47.042645, -121.828774",Carbonado,WA,719,49712,6048
128,99031,"47.428951, -117.360635",Spangle,WA,942,49545,6107
129,98109,"47.630798, -122.345752",Seattle,WA,16018,49531,6115
130,98394,"47.319076, -122.780872",Vaughn,WA,786,49423,6154
131,98940,"47.477982, -121.084918",Ronald,WA,524,49313,6194
132,99022,"47.606742, -117.700972",Medical Lake,WA,7304,49254,6216
133,98119,"47.639340, -122.369134",Seattle,WA,19662,49222,6233
134,98103,"47.678255, -122.338152",Seattle,WA,41971,49044,6298
135,99203,"47.629550, -117.403247",Spokane,WA,21010,48939,6340
136,98467,"47.203437, -122.541380",University Place,WA,15165,48829,6383
137,98354,"47.251760, -122.312708",Milton,WA,5678,48645,6465
138,98007,"47.611975, -122.144604",Bellevue,WA,23048,48606,6480
139,98037,"47.853983, -122.276947",Lynnwood,WA,44026,48602,6482
140,98675,"45.844137, -122.377009",Yacolt,WA,4986,48594,6486
141,99113,"46.584000, -117.179640",Colton,WA,729,48438,6546
142,99036,"47.522702, -117.269884",Valleyford,WA,950,48424,6552
143,98845,"47.429329, -119.890887",Palisades,WA,95,48333,6591
144,98908,"46.635423, -120.745033",Yakima,WA,32380,48007,6716
145,98372,"47.211092, -122.276350",Puyallup,WA,20928,47927,6748
146,98575,"47.492318, -123.731331",Quinault,WA,191,47778,6822
147,98385,"47.138965, -122.095838",South Prairie,WA,182,47750,6832
148,98328,"46.862461, -122.261652",Eatonville,WA,8785,47728,6839
149,98662,"45.690218, -122.577364",Vancouver,WA,23772,47623,6897
150,98580,"46.941284, -122.472323",Roy,WA,9250,47585,6916
151,98251,"47.912329, -121.606833",Gold Bar,WA,4181,47563,6930
152,98126,"47.549221, -122.374341",Seattle,WA,18906,47519,6945
153,98651,"45.763029, -121.594111",Underwood,WA,976,47500,6969
154,98178,"47.496558, -122.251473",Seattle,WA,21860,47461,6983
155,98294,"47.838377, -121.766185",Sultan,WA,5621,47331,7028
156,98466,"47.222699, -122.543195",Tacoma,WA,24598,47286,7051
157,98501,"46.979425, -122.875253",Olympia,WA,33049,47230,7075
158,98365,"47.894453, -122.698767",Port Ludlow,WA,3563,47229,7076
159,98043,"47.792841, -122.305727",Mountlake Terrace,WA,20333,47210,7084
160,98274,"48.340923, -122.176113",Mount Vernon,WA,13477,47136,7133
161,98524,"47.367929, -122.851977",Allyn,WA,1424,47048,7179
162,98445,"47.142818, -122.410635",Tacoma,WA,22412,46986,7213
163,98828,"47.307933, -120.164825",Malaga,WA,1896,46971,7223
164,98236,"47.961930, -122.411311",Clinton,WA,5720,46930,7250
165,98388,"47.141205, -122.621391",Steilacoom,WA,6278,46875,7288
166,98502,"47.080318, -123.043500",Olympia,WA,26142,46776,7350
167,98671,"45.614425, -122.238465",Washougal,WA,15085,46695,7405
